學年別,設立別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校,國小補校,國中補校,高級中等進修學校,專科進修學校(含空專),進修學院(含空院),空中大學
106學年,總計,10884,6323,2630,732,511,-,-,13,15,129,5,28,225,180,-,45,46,2
106學年,公立,6145,2041,2595,719,298,-,-,2,1,47,-,27,225,177,-,4,7,2
106學年,私立,4739,4282,35,13,213,-,-,11,14,82,5,1,-,3,-,41,39,-
105學年,總計,10882,6310,2630,736,506,-,-,13,19,126,5,28,231,185,-,45,46,2
105學年,公立,6118,2002,2595,722,295,-,-,2,1,48,-,27,231,182,-,4,7,2
105學年,私立,4764,4308,35,14,211,-,-,11,18,78,5,1,-,3,-,41,39,-
104學年,總計,10948,6362,2633,733,506,-,-,13,19,126,3,28,239,193,-,45,46,2
104學年,公立,6118,1984,2599,720,295,-,-,2,1,48,-,27,239,190,-,4,7,2
104學年,私立,4830,4378,34,13,211,-,-,11,18,78,3,1,-,3,-,41,39,-
103學年,總計,11078,6468,2644,738,503,-,-,14,21,124,2,28,247,195,-,46,46,2
103學年,公立,6116,1965,2607,721,292,-,-,2,1,48,-,27,247,192,-,5,7,2
103學年,私立,4962,4503,37,17,211,-,-,12,20,76,2,1,-,3,-,41,39,-
102學年,總計,11426,6560,2650,738,-,344,155,14,25,122,3,28,265,203,223,47,47,2
102學年,公立,6214,1919,2613,721,-,198,92,2,3,47,-,27,265,200,113,5,7,2
102學年,私立,5212,4641,37,17,-,146,63,12,22,75,3,1,-,3,110,42,40,-
101學年,總計,11496,6611,2657,740,-,340,155,14,28,120,3,27,277,204,224,47,47,2
101學年,公立,6198,1888,2621,723,-,194,92,2,4,47,-,26,277,201,109,5,7,2
101學年,私立,5298,4723,36,17,-,146,63,12,24,73,3,1,-,3,115,42,40,-
100學年,總計,8100,3195,2659,742,-,336,155,15,32,116,2,27,287,213,225,47,47,2
100學年,公立,5912,1581,2623,726,-,191,92,3,5,46,-,26,287,210,108,5,7,2
100學年,私立,2188,1614,36,16,-,145,63,12,27,70,2,1,-,3,117,42,40,-
99學年,總計,8196,3283,2661,740,-,335,156,15,36,112,2,24,294,219,223,47,47,2
99學年,公立,5895,1560,2622,724,-,190,92,3,6,45,-,23,294,216,106,5,7,2
99學年,私立,2301,1723,39,16,-,145,64,12,30,67,2,1,-,3,117,42,40,-
98學年,總計,8060,3154,2658,740,-,330,156,15,44,105,-,24,297,227,223,42,43,2
98學年,公立,5889,1553,2621,723,-,185,92,3,9,42,-,23,297,224,104,4,7,2
98學年,私立,2171,1601,37,17,-,145,64,12,35,63,-,1,-,3,119,38,36,-
97學年,總計,8097,3195,2654,740,-,321,156,15,45,102,-,24,302,233,224,42,42,2
97學年,公立,5880,1544,2617,722,-,180,92,3,8,42,-,23,302,230,104,4,7,2
97學年,私立,2217,1651,37,18,-,141,64,12,37,60,-,1,-,3,120,38,35,-
""
