學年別,日間/進修別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
106學年,總計,1273894,629040,644854,84777,20469,64308,6061,3216,2845,558,356,202,35068,9376,25692,950301,484455,465846,168783,92210,76573,28346,18958,9388
106學年,日間部,1062808,519955,542853,84777,20469,64308,1065,673,392,271,165,106,12979,2574,10405,819103,411758,407345,116278,65368,50910,28335,18948,9387
106學年,進修部,211086,109085,102001,-,-,-,4996,2543,2453,287,191,96,22089,6802,15287,131198,72697,58501,52505,26842,25663,11,10,1
105學年,總計,1309441,646866,662575,88425,21859,66566,7259,3754,3505,562,371,191,36257,9493,26764,978579,498342,480237,169538,93583,75955,28821,19464,9357
105學年,日間部,1092416,535717,556699,88425,21859,66566,1129,663,466,287,184,103,13602,2597,11005,843247,424387,418860,116918,66575,50343,28808,19452,9356
105學年,進修部,217025,111149,105876,-,-,-,6130,3091,3039,275,187,88,22655,6896,15759,135332,73955,61377,52620,27008,25612,13,12,1
104學年,總計,1332445,660775,671670,89143,21760,67383,8323,4230,4093,357,272,85,36129,9501,26628,998732,510129,488603,170428,94884,75544,29333,19999,9334
104學年,日間部,1109941,547606,562335,89143,21760,67383,1858,1026,832,176,121,55,13708,2801,10907,858281,434308,423973,117469,67614,49855,29306,19976,9330
104學年,進修部,222504,113169,109335,-,-,-,6465,3204,3261,181,151,30,22421,6700,15721,140451,75821,64630,52959,27270,25689,27,23,4
103學年,總計,1339849,666128,673721,89484,21456,68028,9786,4846,4940,416,308,108,36837,10047,26790,999809,511735,488074,172968,96694,76274,30549,21042,9507
103學年,日間部,1111320,550299,561021,89484,21456,68028,3146,1755,1391,271,185,86,13491,2981,10510,855585,434223,421362,118829,68687,50142,30514,21012,9502
103學年,進修部,228529,115829,112700,-,-,-,6640,3091,3549,145,123,22,23346,7066,16280,144224,77512,66712,54139,28007,26132,35,30,5
102學年,總計,1345973,673876,672097,90398,21900,68498,11261,5528,5733,440,335,105,38583,10954,27629,996511,512871,483640,177305,100398,76907,31475,21890,9585
102學年,日間部,1108433,553250,555183,90398,21900,68498,4004,2217,1787,261,199,62,13522,3087,10435,847472,433030,414442,121343,70962,50381,31433,21855,9578
102學年,進修部,237540,120626,116914,-,-,-,7257,3311,3946,179,136,43,25061,7867,17194,149039,79841,69198,55962,29436,26526,42,35,7
101學年,總計,1355290,683446,671844,89060,21701,67359,12364,6088,6276,409,272,137,42179,12391,29788,995453,515852,479601,183094,104219,78875,32731,22923,9808
101學年,日間部,1102950,555585,547365,89060,21701,67359,4370,2390,1980,216,157,59,13500,3292,10208,838405,431936,406469,124725,73234,51491,32674,22875,9799
101學年,進修部,252340,127861,124479,-,-,-,7994,3698,4296,193,115,78,28679,9099,19580,157048,83916,73132,58369,30985,27384,57,48,9
100學年,總計,1352084,683367,668717,88070,21650,66420,13230,6377,6853,472,296,176,45575,14411,31164,986938,512749,474189,184113,104188,79925,33686,23696,9990
100學年,日間部,1089063,550261,538802,88070,21650,66420,4676,2414,2262,254,179,75,14222,4135,10087,823808,425562,398246,124403,72673,51730,33630,23648,9982
100學年,進修部,263021,133106,129915,-,-,-,8554,3963,4591,218,117,101,31353,10276,21077,163130,87187,75943,59710,31515,28195,56,48,8
99學年,總計,1343603,681054,662549,86971,21975,64996,15818,7580,8238,423,262,161,50669,17346,33323,970544,504699,465845,185000,104894,80106,34178,24298,9880
99學年,日間部,1074499,545059,529440,86971,21975,64996,5529,2810,2719,244,153,91,16485,5794,10691,806731,417439,389292,124434,72648,51786,34105,24240,9865
99學年,進修部,269104,135995,133109,-,-,-,10289,4770,5519,179,109,70,34184,11552,22632,163813,87260,76553,60566,32246,28320,73,58,15
98學年,總計,1336659,680038,656621,85614,22302,63312,22941,11490,11451,-,-,-,62860,23788,39072,948092,493233,454859,183401,105084,78317,33751,24141,9610
98學年,日間部,1056200,537988,518212,85614,22302,63312,8390,4374,4016,-,-,-,21217,8697,12520,784416,406089,378327,122900,72457,50443,33663,24069,9594
98學年,進修部,280459,142050,138409,-,-,-,14551,7116,7435,-,-,-,41643,15091,26552,163676,87144,76532,60501,32627,27874,88,72,16
97學年,總計,1337455,683114,654341,84787,23124,61663,32866,17451,15415,-,-,-,83443,34718,48725,922659,478620,444039,180809,105470,75339,32891,23731,9160
97學年,日間部,1040004,531827,508177,84787,23124,61663,12904,6965,5939,-,-,-,28653,13480,15173,760277,392492,367785,120596,72120,48476,32787,23646,9141
97學年,進修部,297451,151287,146164,-,-,-,19962,10486,9476,-,-,-,54790,21238,33552,162382,86128,76254,60213,33350,26863,104,85,19
""
